_5_digit_ntd_id,_4_digit_ntd_id,agency,organization_type,mode,type_of_service,rail_y_n,primary_uza_code,primary_uza_name,primary_uza_sq_miles,primary_uza_population,service_area_sq_miles,service_area_population,year,month,vehicles,vehicle_revenue_miles,vehicle_revenue_hours,ridership,collisions_with_motor_vehicle,collisions_with_person,collisions_with_fixed_object,collisions_with_rail_vehicle,collisions_with_bus_vehicle,collisions_with_other,total_collisions,total_derailments,total_fires,total_security_events,total_events_not_otherwise,total_events,passenger_fatalities,people_waiting_or_leaving,operator_fatalities,other_employee_fatalities,total_employee_fatalities,other_worker_fatalities,bicyclist_fatalities,pedestrian_in_crosswalk,pedestrian_not_in_crosswalk,pedestrian_crossing_tracks,pedestrian_walking_along,other_vehicle_occupant,other_fatalities,trespasser_fatalities,suicide_fatalities,total_other_fatalities,total_fatalities,passenger_injuries,people_waiting_or_leaving_1,operator_injuries,other_employee_injuries,total_employee_injuries,other_worker_injuries,bicyclist_injuries,pedestrian_in_corsswalk,pedestrian_not_in_crosswalk_1,pedestrian_crossing_tracks_1,pedestrian_walking_along_1,other_vehicle_occupant_1,other_injuries,trespasser_injuries,suicide_injuries,total_other_injuries,total_injuries
20072,2072,Suffolk County,"City, County or Local Government Unit or Department of Transportation",DR,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,912,1502968,2014,10,155,670626,34229,54836,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20072,2072,Suffolk County,"City, County or Local Government Unit or Department of Transportation",MB,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,912,1502968,2014,10,130,670857,35658,538796,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20072,2072,Suffolk County,"City, County or Local Government Unit or Department of Transportation",MB,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,912,1502968,2014,1,130,620286,34073,369764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20072,2072,Suffolk County,"City, County or Local Government Unit or Department of Transportation",MB,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,912,1502968,2014,3,130,644559,34347,455657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20072,2072,Suffolk County,"City, County or Local Government Unit or Department of Transportation",MB,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,912,1502968,2014,11,130,592691,31443,439263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20072,2072,Suffolk County,"City, County or Local Government Unit or Department of Transportation",MB,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,912,1502968,2014,12,130,639752,34339,446674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20072,2072,Suffolk County,"City, County or Local Government Unit or Department of Transportation",DR,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,912,1502968,2014,2,155,513881,26582,40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20072,2072,Suffolk County,"City, County or Local Government Unit or Department of Transportation",DR,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,912,1502968,2014,3,155,615939,30634,49140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20072,2072,Suffolk County,"City, County or Local Government Unit or Department of Transportation",DR,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,912,1502968,2014,4,155,626211,31662,49741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20072,2072,Suffolk County,"City, County or Local Government Unit or Department of Transportation",DR,PT,False,1,"New York-Newark, NY-NJ-CT",3450,18351295,912,1502968,2014,5,155,617771,31355,48693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
